問,科目,解答,正誤,回答,理由
問120,衛生,"[(2, 4)]",○,"[2, 4]","ナイアシンに関する記述の正誤を判断する。
1. 神経管閉鎖障害のリスク因子は葉酸欠乏であり、ナイアシン欠乏ではないため誤り。
2. ナイアシン欠乏症（ペラグラ）の主症状は皮膚炎、下痢、認知症（中枢神経症状）であるため正しい。
3. ニコチン酸（ナイアシンの一種）には「日本人の食事摂取基準（2020年版）」で耐容上限量が設定されているため誤り。
4. トウモロコシは含有されるナイアシンが吸収されにくい形態であり、前駆体のトリプトファンも少ないため、主食とする地域ではナイアシン欠乏症（ペラグラ）のリスクがあるため正しい。
5. ナイアシンの過剰摂取では皮膚紅潮などが起こるが、頭蓋内圧亢進はビタミンA過剰症などの症状であり、誤り。
したがって、正しい記述は2と4である。"
問121,生物,"[(2, 3)]",×,"[1, 4]","図の補酵素はNAD+（ニコチンアミドアデニンジヌクレオチド）の酸化型である。
1. 図は酸化型の構造を示しているため正しい。
2. 340 nmに吸収極大を持つのは還元型のNADHであるため誤り。
3. HMG-CoAからメバロン酸を産生する反応（HMG-CoA還元酵素）の補酵素はNADPHであるため誤り。
4. ピルビン酸からアセチルCoAを産生する反応（ピルビン酸デヒドロゲナーゼ複合体）では、NAD+が電子を受け取りNADHとなるため、NAD+が関与する。正しい。
5. ミトコンドリア内膜での電子伝達系では、NADHが電子を供給する。NAD+は電子伝達系の最終産物の一つではあるが、直接電子の受け渡しに関与する主体ではないため、4の方がより適切。誤り。
したがって、正しい記述は1と4である。"
問122,衛生,"[(3, 5)]",○,"[3, 5]","表のデータに基づき、飲酒とがんリスクに関する記述の正誤を判断する。ハザード比の95%信頼区間に1.00を含まない場合に有意差ありと判断する。
1. 「週に1回未満」群の大腸がんハザード比は1.00 (0.79-1.28)であり、有意な増加ではないため誤り。
2. 「0.1-22.9 g/日」群の直腸がんハザード比は1.08 (0.71-1.65)であり、有意な増加ではないため誤り。
3. 「23.0-45.9 g/日」群の結腸がんハザード比は1.21 (0.80-1.84)で有意ではないが、「46.0-68.9 g/日」群では1.60 (1.01-2.57)、「69.0-91.9 g/日」群では1.97 (1.15-2.57)、「92.0以上」群では1.90 (1.45-2.49)と、より摂取量が多い群では有意に増加している。したがって、「23.0 g/日以上」の摂取は結腸がんリスクを有意に増加させると言えるため正しい。
4. 「23.0 g/日以上」群全体の大腸がん発症率は10万観察人年あたり約196.5人。飲酒しない群は約142.1人。差は約54.4人であり、338人ではないため誤り。
5. 「23.0 g/日以上」群の発症率比（ハザード比の代用）は約1.383 (196.5/142.1)。この群における飲酒の寄与リスク割合(AF)は (1.383-1)/1.383 ≒ 0.277、すなわち約28%と推定されるため正しい。
したがって、正しい記述は3と5である。"
問123,衛生,"[(2, 6)]",○,"[2, 6]","疾病予防の段階とその目的、具体例の組み合わせの正誤を判断する。一次予防は発生予防、二次予防は早期発見・早期治療、三次予防はリハビリ・再発防止・機能維持。
1. 新生児マススクリーニングは早期発見・早期治療であり二次予防。誤り。
2. 衛生教育や健康教室は健康増進（一次予防）の具体例であるため正しい。
3. 予防接種は特異的予防（一次予防）であるため誤り。
4. デイサービスは機能維持やQOL向上を目的とし、三次予防に近い。二次予防ではないため誤り。
5. 呼吸用保護具の使用は、既存の呼吸器疾患の増悪を防ぎ能力低下を防止する目的であれば三次予防に該当するため正しい。
6. リハビリテーションは機能回復（三次予防）の典型例であるため正しい。
正しい組み合わせは2, 5, 6であるが、2つ選ぶため、最も典型的な一次予防の例である2と、三次予防の例である6を選ぶのが妥当と考えられる。（5も組み合わせとしては正しい）"
問124,衛生,"[(4, 5)]",○,"[4, 5]","グラフの傾向と性感染症の疫学知識から、ア、イ、ウを同定する。イは報告数が最も多く減少傾向にあるため性器クラミジア感染症。アは近年急増しているため梅毒。ウは淋菌感染症と推定される。
1. アは梅毒であるため誤り。
2. イ（性器クラミジア感染症）の病原体はクラミジア・トラコマティスという細菌であり、ウイルスではないため誤り。
3. イ（性器クラミジア感染症）の母子感染経路は主に産道感染であるため誤り。
4. ウ（淋菌感染症）自体は献血時のスクリーニング検査の主対象ではない。梅毒などは対象だが、ウの血液感染防止のためとは言えないため誤り。
5. ウ（淋菌感染症）は感染症法に基づく5類感染症であり、全医療機関からの全数把握対象疾患であるため正しい。
正しい記述は5のみに見えるが、問題は2つ選ぶ形式。他の選択肢は明確に誤り。グラフの同定（ア:梅毒, イ:クラミジア, ウ:淋菌）が正しく、選択肢の知識も正しいとすると、問題に不備がある可能性が高い。しかし形式的に2つ選ぶ必要がある場合、他の選択肢に正解を見出すのは困難。ここでは、最も確実な5と、解釈の余地が全くないわけではない（性感染症全般の血液感染リスク管理という広義の解釈）4を仮に選ぶが、4の正当性は低い。"
問125,衛生,"[(3, 5)]",○,"[3, 5]","生活習慣病に関する近年の動向についての記述の正誤を判断する。
1. 糖尿病患者数は増加しているが、成人のほとんどは2型糖尿病であるため誤り。
2. COPDによる死亡者数は、長期的には増加傾向だったが、近年の禁煙推進等により、直近ではやや減少傾向にあるため正しい。
3. 高齢化に伴い、心疾患による粗死亡率（人口あたりの死亡数）は増加傾向にあるため正しい。
4. 脳血管疾患の死亡率は脳梗塞が最も高く、脳内出血ではないため誤り。
5. 膵臓がんは予後不良で、高齢化に伴い死亡者数は男女ともに増加傾向にあるため正しい。
正しい記述は2, 3, 5であるが、2つ選ぶため、より明確に「この20年間」の傾向として増加している3（心疾患粗死亡率）と5（膵臓がん死亡者数）を選ぶのが妥当と考えられる。2の「減少傾向」は直近の傾向であり、20年スパンでは増加後の減少であるため。"
問126,衛生,"[(3, 5)]",○,"[3, 5]","新生児マススクリーニングにおけるタンデムマス法のアシルカルニチン測定対象疾患を選ぶ。アシルカルニチンは脂肪酸代謝異常症や一部の有機酸代謝異常症で異常値を示す。
1. ガラクトース血症は糖代謝異常症。タンデムマス法の対象だがアシルカルニチン測定ではない。誤り。
2. 先天性甲状腺機能低下症は内分泌疾患。TSH測定。誤り。
3. MCAD欠損症は脂肪酸代謝異常症。中鎖アシルカルニチンが上昇するため、アシルカルニチン測定で検出される。正しい。
4. フェニルケトン尿症はアミノ酸代謝異常症。アミノ酸分析で検出される。誤り。
5. プロピオン酸血症は有機酸代謝異常症。プロピオニルカルニチン(C3)が上昇するため、アシルカルニチン測定で検出される。正しい。
したがって、正しい選択肢は3と5である。"
問127,衛生,"[(1, 4)]",×,"[2, 5]","グラフのデータとアミノ酸評点パターン（基準値）を比較し、食品A, B, C（米、はとむぎ、鶏卵のいずれか）とアミノ酸スコアに関する記述の正誤を判断する。リシン含量が極端に低いCが米、リシン含量が高いBが鶏卵、Aがはとむぎと推定される。
1. 食品Aははとむぎ（推定）であり、鶏卵(B)ではないため誤り。
2. 食品B(鶏卵)は必須アミノ酸がすべて基準値以上であり、アミノ酸スコアは100とされるため、制限アミノ酸はない。正しい。
3. 食品C(米)はリシン(Lys)の基準値に対する比率(18/58≒0.31)がトリプトファン(Trp)の比率(5.6/7.4≒0.76)より低いため、第一制限アミノ酸はリシンである。誤り。
4. アミノ酸スコアは B(100) > A(Lys比0.69) > C(Lys比0.31) の順であるため誤り。
5. 食品C(米)のアミノ酸スコアは第一制限アミノ酸であるリシンの比率から約31と計算されるため、77ではない。誤り。
正しい記述は2のみに見えるが、問題は2つ選ぶ形式。他の選択肢は明確に誤り。問題に不備がある可能性が高い。しかし形式的に2つ選ぶ必要がある場合、他の選択肢に正解を見出すのは困難。ここでは、最も確実な2と、計算結果(76)に近い数値である5を、根拠は薄弱ながら仮に選ぶ。"
問128,衛生,"[(1, 3)]",○,"[1, 3]","構造式から食品添加物A～Eを同定し、記述の正誤を判断する。A:グリチルリチン酸二ナトリウム(甘味料), B:アゾ色素(合成着色料), C:次亜塩素酸ナトリウム(殺菌料・漂白剤), D:アスコルビン酸(酸化防止剤), E:チアベンダゾール(防カビ剤)。
1. A(グリチルリチン酸)は甘味料として使用される指定添加物であるため正しい。
2. B(合成着色料)は鮮魚介類、食肉、野菜類への使用は原則禁止されているため誤り。
3. C(次亜塩素酸ナトリウム)は漂白・殺菌目的で使用されるため正しい。
4. D(アスコルビン酸)は自身が酸化されることで酸化防止作用を示す。金属イオンとの錯体形成による酸化防止はEDTAなどの作用であるため誤り。
5. E(チアベンダゾール)は防カビ剤として主に柑橘類等に使用され、乳製品には通常使用されないため誤り。
したがって、正しい記述は1と3である。"
問129,衛生,"[(3, 4)]",○,"[3, 4]","特別用途食品と保健機能食品に関する記述の正誤を判断する。
1. 疾病リスク低減表示が認められているのは特定保健用食品（トクホ）の一部であり、機能性表示食品ではないため誤り。
2. 特定保健用食品（トクホ）は国の許可が必要であり、審査なしで販売できるのは機能性表示食品であるため誤り。
3. n-3系脂肪酸は栄養機能食品の対象成分であり、「皮膚の健康維持を助ける」等の機能表示が可能であるため正しい。
4. 保健機能食品以外の一般食品は、医薬品的な効能効果や保健機能食品のような機能性の表示は認められていないため正しい。
5. 病者用食品（特別用途食品）の表示には国の許可（消費者庁）が必要であり、厚労省への届け出ではないため誤り。
したがって、正しい記述は3と4である。"
